星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),r1(kpc),alpha,beta,拟合优度R²,是否有效拟合
CamB,1.12e+08,1.00e+02,100.000,0.1,1.2,0.2,0.301,否
D564-8,7.71e+07,3.28e+03,10.464,10.5,1.2,0.2,0.938,是
D631-7,6.59e+08,4.11e+04,50.826,50.8,1.2,0.2,0.884,是
DDO064,5.46e+08,5.91e+03,4.906,4.9,1.2,0.2,0.935,是
DDO154,3.91e+08,4.59e+03,4.264,4.3,1.2,0.2,0.886,是
DDO161,2.98e+09,2.10e+04,41.181,41.2,1.2,0.2,0.959,是
DDO168,7.52e+08,5.87e+03,4.055,4.1,1.2,0.2,0.807,是
DDO170,2.42e+09,4.84e+03,6.616,10000.0,1.2,0.2,0.940,否
ESO079-G014,6.62e+10,3.94e+04,18.868,18.9,1.2,0.2,0.944,是
ESO116-G012,7.53e+09,2.74e+04,11.898,11.9,1.2,0.2,0.955,是
ESO444-G084,2.91e+08,8.70e+03,3.218,3.2,1.2,0.2,0.982,是
ESO563-G021,3.83e+11,2.42e+05,100.000,10000.0,1.2,0.2,0.928,否
F561-1,7.41e+09,1.00e+02,100.000,0.1,1.2,0.2,0.783,否
F563-1,8.11e+09,2.15e+04,9.064,9.1,1.2,0.2,0.888,是
F563-V1,1.74e+09,1.00e+02,100.000,0.1,1.2,0.2,0.905,否
F563-V2,7.28e+09,1.99e+04,2.567,2.6,1.2,0.2,0.867,是
F565-V2,2.22e+09,2.25e+04,16.355,16.4,1.2,0.2,0.932,是
F567-2,3.74e+09,1.91e+03,0.722,0.7,1.2,0.2,0.496,否
F568-1,1.46e+10,1.95e+04,3.276,10000.0,1.2,0.2,0.889,否
F568-3,1.64e+10,6.06e+04,18.305,0.1,1.2,0.2,0.908,否
F568-V1,9.82e+09,1.89e+04,2.445,2.4,1.2,0.2,0.838,是
F571-8,1.16e+10,2.05e+05,100.000,10000.0,1.2,0.2,0.398,否
F571-V1,4.85e+09,1.32e+04,10.543,10.5,1.2,0.2,0.909,是
F574-1,1.00e+10,1.26e+04,4.224,4.2,1.2,0.2,0.923,是
F574-2,5.32e+09,1.00e+02,100.000,0.1,1.2,0.2,0.436,否
F579-V1,1.81e+10,2.42e+04,2.844,0.1,1.2,0.2,0.945,否
F583-1,7.02e+09,1.23e+04,7.458,7.5,1.2,0.2,0.905,是
F583-4,2.71e+09,7.82e+04,100.000,10000.0,1.2,0.2,0.989,否
IC2574,3.12e+09,4.89e+04,100.000,10000.0,1.2,0.2,0.950,否
IC4202,2.27e+11,9.52e+04,100.000,10000.0,1.2,0.2,0.633,否
KK98-251,3.33e+08,5.08e+04,100.000,10000.0,1.2,0.2,0.960,否
NGC0024,5.31e+09,1.15e+04,1.997,10000.0,1.2,0.2,0.963,否
NGC0055,1.08e+10,9.59e+03,8.561,8.6,1.2,0.2,0.868,是
NGC0100,4.65e+09,1.16e+05,100.000,10000.0,1.2,0.2,0.965,否
NGC0247,1.21e+10,4.85e+04,47.876,47.9,1.2,0.2,0.962,是
NGC0289,1.20e+11,4.61e+04,43.071,43.0,1.2,0.2,-4.354,否
NGC0300,4.69e+09,2.31e+04,16.278,16.3,1.2,0.2,0.956,是
NGC0801,4.10e+11,2.87e+04,100.000,10000.0,1.2,0.2,-0.177,否
NGC0891,1.60e+11,1.00e+02,100.000,0.1,1.2,0.2,-55.931,否
NGC1003,1.68e+10,3.30e+04,36.281,36.3,1.2,0.2,0.861,是
NGC1090,9.80e+10,6.32e+04,100.000,10000.0,1.2,0.2,0.858,否
NGC1705,8.13e+08,8.12e+03,1.311,1.3,1.2,0.2,0.889,是
NGC2366,1.22e+09,3.16e+03,1.792,1.8,1.2,0.2,0.780,是
NGC2403,1.80e+10,5.96e+04,37.487,37.5,1.2,0.2,0.898,是
NGC2683,8.39e+10,6.72e+04,100.000,10000.0,1.2,0.2,0.434,否
NGC2841,2.60e+11,8.79e+04,19.216,10000.0,1.2,0.2,0.893,否
NGC2903,8.85e+10,1.01e+05,100.000,10000.0,1.2,0.2,-1.357,否
NGC2915,1.57e+09,1.14e+04,2.503,2.5,1.2,0.2,0.503,否
NGC2955,3.78e+11,1.00e+02,100.000,0.1,1.2,0.2,-2.314,否
NGC2976,3.33e+09,1.00e+02,100.000,0.1,1.2,0.2,0.978,否
NGC2998,2.07e+11,8.80e+04,100.000,10000.0,1.2,0.2,0.766,否
NGC3109,8.04e+08,3.32e+04,28.856,28.9,1.2,0.2,0.971,是
NGC3198,6.24e+10,4.70e+04,46.291,46.3,1.2,0.2,0.870,是
NGC3521,9.69e+10,1.00e+02,100.000,0.1,1.2,0.2,-10.053,否
NGC3726,8.64e+10,6.49e+04,100.000,10000.0,1.2,0.2,-1.083,否
NGC3741,3.17e+08,8.07e+03,9.778,9.8,1.2,0.2,0.985,是
NGC3769,2.75e+10,2.66e+04,31.263,31.2,1.2,0.2,-2.102,否
NGC3877,9.74e+10,1.00e+02,100.000,0.1,1.2,0.2,0.462,否
NGC3893,7.18e+10,1.05e+05,100.000,10000.0,1.2,0.2,-2.409,否
NGC3917,3.05e+10,4.24e+04,36.612,10000.0,1.2,0.2,0.969,否
NGC3949,4.32e+10,1.00e+02,100.000,0.1,1.2,0.2,-3.970,否
NGC3953,1.80e+11,1.00e+02,100.000,0.1,1.2,0.2,-0.695,否
NGC3972,1.91e+10,1.55e+05,100.000,10000.0,1.2,0.2,0.961,否
NGC3992,2.66e+11,7.31e+04,48.055,10000.0,1.2,0.2,0.826,否
NGC4010,2.26e+10,9.66e+04,100.000,10000.0,1.2,0.2,0.845,否
NGC4013,8.56e+10,9.82e+04,100.000,10000.0,1.2,0.2,-2.395,否
NGC4051,8.54e+10,1.00e+02,100.000,0.1,1.2,0.2,-2.004,否
NGC4068,4.91e+08,5.12e+04,100.000,10000.0,1.2,0.2,0.891,否
NGC4085,2.88e+10,1.00e+02,100.000,0.1,1.2,0.2,-0.066,否
NGC4088,1.29e+11,1.00e+02,100.000,0.1,1.2,0.2,-2.825,否
NGC4100,6.90e+10,1.07e+05,100.000,186.1,1.2,0.2,0.720,否
NGC4138,4.77e+10,9.19e+04,100.000,10000.0,1.2,0.2,-0.320,否
NGC4157,1.22e+11,5.63e+04,100.000,10000.0,1.2,0.2,-1.501,否
NGC4183,1.83e+10,1.58e+04,14.279,10000.0,1.2,0.2,0.940,否
NGC4214,1.45e+09,1.12e+04,2.952,3.0,1.2,0.2,0.466,否
