星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),r1(kpc),alpha,beta,拟合优度R²
D564-8,77100000.0,3280.0,10.464,10.5,1.2,0.2,0.938
D631-7,659000000.0,41100.0,50.826,50.8,1.2,0.2,0.884
DDO064,546000000.0,5910.0,4.906,4.9,1.2,0.2,0.935
DDO154,391000000.0,4590.0,4.264,4.3,1.2,0.2,0.886
DDO161,2980000000.0,21000.0,41.181,41.2,1.2,0.2,0.959
DDO168,752000000.0,5870.0,4.055,4.1,1.2,0.2,0.807
ESO079-G014,66200000000.0,39400.0,18.868,18.9,1.2,0.2,0.944
ESO116-G012,7530000000.0,27400.0,11.898,11.9,1.2,0.2,0.955
ESO444-G084,291000000.0,8700.0,3.218,3.2,1.2,0.2,0.982
F563-1,8110000000.0,21500.0,9.064,9.1,1.2,0.2,0.888
F563-V2,7280000000.0,19900.0,2.567,2.6,1.2,0.2,0.867
F565-V2,2220000000.0,22500.0,16.355,16.4,1.2,0.2,0.932
F568-V1,9820000000.0,18900.0,2.445,2.4,1.2,0.2,0.838
F571-V1,4850000000.0,13200.0,10.543,10.5,1.2,0.2,0.909
F574-1,10000000000.0,12600.0,4.224,4.2,1.2,0.2,0.923
F583-1,7020000000.0,12300.0,7.458,7.5,1.2,0.2,0.905
NGC0055,10800000000.0,9590.0,8.561,8.6,1.2,0.2,0.868
NGC0247,12100000000.0,48500.0,47.876,47.9,1.2,0.2,0.962
NGC0300,4690000000.0,23100.0,16.278,16.3,1.2,0.2,0.956
NGC1003,16800000000.0,33000.0,36.281,36.3,1.2,0.2,0.861
NGC1705,813000000.0,8120.0,1.311,1.3,1.2,0.2,0.889
NGC2366,1220000000.0,3160.0,1.792,1.8,1.2,0.2,0.78
NGC2403,18000000000.0,59600.0,37.487,37.5,1.2,0.2,0.898
NGC3109,804000000.0,33200.0,28.856,28.9,1.2,0.2,0.971
NGC3198,62400000000.0,47000.0,46.291,46.3,1.2,0.2,0.87
NGC3741,317000000.0,8070.0,9.778,9.8,1.2,0.2,0.985
NGC6015,43100000000.0,72000.0,52.982,53.1,1.2,0.2,0.914
UGC00128,27900000000.0,16800.0,6.713,597.9,1.2,0.2,0.958
UGC00191,5000000000.0,8820.0,3.652,3.7,1.2,0.2,0.931
UGC00731,3660000000.0,7600.0,3.206,3.2,1.2,0.2,0.975
UGC00891,1230000000.0,24700.0,29.896,29.9,1.2,0.2,0.928
UGC01230,21600000000.0,14500.0,2.738,2.7,1.2,0.2,0.773
UGC01281,871000000.0,22700.0,22.287,22.3,1.2,0.2,0.938
UGC02487,547000000000.0,143000.0,25.595,25.6,1.2,0.2,0.856
UGC04325,3800000000.0,9720.0,1.134,1.1,1.2,0.2,0.883
UGC04499,4070000000.0,10100.0,9.397,9.4,1.2,0.2,0.919
UGC05005,14600000000.0,30600.0,46.711,46.7,1.2,0.2,0.963
UGC05716,2840000000.0,8650.0,4.873,4.9,1.2,0.2,0.975
UGC05750,11000000000.0,10200.0,15.407,15.4,1.2,0.2,0.933
UGC05918,552000000.0,3330.0,3.351,3.4,1.2,0.2,0.985
UGC05986,6850000000.0,17400.0,3.559,3.6,1.2,0.2,0.833
UGC05999,12500000000.0,15300.0,10.341,10.3,1.2,0.2,0.781
UGC06399,4230000000.0,15900.0,9.631,9.6,1.2,0.2,0.961
UGC06446,3710000000.0,9610.0,2.509,2.5,1.2,0.2,0.946
UGC06667,2140000000.0,13300.0,4.385,4.4,1.2,0.2,0.92
UGC06930,16500000000.0,36900.0,18.029,0.4,1.2,0.2,0.932
UGC06983,11700000000.0,15600.0,4.397,4.4,1.2,0.2,0.782
UGC07125,8130000000.0,4210.0,8.412,8.4,1.2,0.2,0.895
UGC07151,3950000000.0,6700.0,4.903,4.9,1.2,0.2,0.959
UGC07261,3290000000.0,15600.0,13.594,13.6,1.2,0.2,0.835
UGC07524,6620000000.0,8050.0,4.467,4.5,1.2,0.2,0.938
UGC07603,698000000.0,7590.0,2.987,3.0,1.2,0.2,0.881
UGC07608,940000000.0,22300.0,14.187,14.2,1.2,0.2,0.955
UGC07690,1410000000.0,3970.0,3.048,3.0,1.2,0.2,0.765
UGC08286,2700000000.0,11700.0,4.221,4.2,1.2,0.2,0.958
UGC08490,2240000000.0,9170.0,1.965,2.0,1.2,0.2,0.949
UGC08550,907000000.0,6030.0,3.582,3.6,1.2,0.2,0.979
UGC10310,3980000000.0,5450.0,1.893,1.9,1.2,0.2,0.881
UGC12632,4220000000.0,7040.0,3.885,3.9,1.2,0.2,0.956
UGCA281,94800000.0,4570.0,5.419,5.4,1.2,0.2,0.994
UGCA442,579000000.0,7620.0,6.057,6.1,1.2,0.2,0.962
