星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),alpha,r1(kpc),beta,拟合优度R²
CamB,1.12e+08,1.00e+02,100.000,2.00,0.1,0.50,0.302
D564-8,7.71e+07,2.94e+03,3.315,1.92,3.3,0.50,0.973
D631-7,6.59e+08,2.14e+04,8.737,2.00,8.7,0.50,0.934
DDO064,5.46e+08,5.67e+03,1.273,2.00,1.3,0.50,0.905
DDO154,3.91e+08,7.53e+03,2.702,2.00,2.7,0.50,0.947
DDO161,2.98e+09,1.92e+04,12.240,2.00,12.2,0.50,0.982
DDO168,7.52e+08,8.97e+03,2.278,2.00,2.3,0.50,0.861
DDO170,2.42e+09,5.00e+03,9.045,1.00,10000.0,0.05,0.924
ESO079-G014,6.62e+10,2.41e+04,5.307,2.00,10000.0,0.05,0.955
ESO116-G012,7.53e+09,3.86e+04,5.894,2.00,5.9,0.50,0.977
ESO444-G084,2.91e+08,1.37e+04,2.081,1.89,2.1,0.50,0.996
ESO563-G021,3.83e+11,4.74e+05,100.000,1.68,10000.0,0.05,0.934
F561-1,7.41e+09,1.00e+02,100.000,2.00,0.1,0.50,0.784
F563-1,8.11e+09,3.84e+04,6.869,2.00,6.9,0.50,0.871
F563-V1,1.74e+09,1.00e+02,100.000,2.00,0.1,0.50,0.906
F563-V2,7.28e+09,3.80e+04,2.156,2.00,2.2,0.50,0.940
F565-V2,2.22e+09,2.70e+04,6.624,2.00,6.6,0.50,0.972
F567-2,3.74e+09,4.20e+03,0.010,1.00,0.1,0.32,-0.106
F568-1,1.46e+10,1.95e+04,4.086,1.00,10000.0,0.05,0.860
F568-3,1.64e+10,3.46e+05,100.000,1.00,0.1,0.33,0.858
F568-V1,9.82e+09,1.11e+04,0.674,1.00,10000.0,0.05,0.552
F571-8,1.16e+10,1.69e+05,24.460,2.00,24.5,0.50,0.484
F571-V1,4.85e+09,2.13e+04,6.460,2.00,6.5,0.50,0.958
F574-1,1.00e+10,2.33e+04,3.535,2.00,3.5,0.50,0.975
F574-2,5.32e+09,1.00e+02,100.000,2.00,0.1,0.50,0.438
F579-V1,1.81e+10,1.04e+04,1.617,1.00,0.1,0.05,0.948
F583-1,7.02e+09,2.10e+04,4.927,2.00,4.9,0.50,0.963
F583-4,2.71e+09,9.22e+04,100.000,1.26,10000.0,0.05,0.986
IC2574,3.12e+09,2.18e+05,69.557,2.00,69.5,0.50,0.982
IC4202,2.27e+11,4.18e+05,100.000,2.00,10000.0,0.05,0.655
KK98-251,3.33e+08,8.87e+03,6.239,2.00,6.2,0.50,0.986
